,High,Low,Open,Close,Day,Month,Year
0,731490.6875,725478.5,734975.875,725961.0,17,9,2019
1,735039.75,703342.8125,726121.0,732951.1875,18,9,2019
2,732415.8125,721472.4375,732944.3125,724993.9375,19,9,2019
3,725453.6875,712110.4375,725136.875,713463.9375,20,9,2019
4,717307.0625,706490.9375,713777.125,717018.5625,21,9,2019
5,713261.0,688686.5,716845.5625,688840.875,22,9,2019
6,695793.75,594059.875,688840.6875,611785.25,23,9,2019
7,620775.875,591001.3125,610569.0,602472.6875,24,9,2019
8,604371.375,560365.0625,602520.75,576215.6875,25,9,2019
9,584457.375,562864.125,575799.3125,583067.125,26,9,2019
10,584211.5625,572917.0625,583026.75,581412.25,27,9,2019
11,582515.0,563392.5625,581420.875,571408.5,28,9,2019
12,587364.75,553209.5,571411.375,585926.1875,29,9,2019
13,604270.875,585425.875,586339.6875,593290.375,30,9,2019
14,597178.3125,585413.625,593356.9375,597178.3125,1,10,2019
15,597643.8125,578623.25,597016.9375,586688.8125,2,10,2019
16,585018.4375,577311.3125,586653.5,581185.625,3,10,2019
17,581862.5625,571635.125,581483.8125,577328.0,4,10,2019
18,578038.1875,563691.75,577213.0,565767.3125,5,10,2019
19,590651.875,562024.875,565835.625,586185.4375,6,10,2019
20,593456.0,582990.0625,586272.6875,586053.9375,7,10,2019
21,613596.875,580995.25,586129.25,611323.4375,8,10,2019
22,612307.9375,601422.375,610579.5,609553.5625,9,10,2019
23,619682.5,590864.6875,609467.625,591260.8125,10,10,2019
24,597902.9375,590662.875,590828.0,592312.25,11,10,2019
25,600796.375,587010.4375,592336.875,590159.0,12,10,2019
26,597777.1875,590219.5,590146.6875,596671.25,13,10,2019
27,601366.0625,585063.5,596583.75,586683.875,14,10,2019
28,586387.0,569850.3125,586634.1875,574306.125,15,10,2019
29,578630.5625,569107.0625,574326.5,576431.25,16,10,2019
30,578563.875,561768.8125,576219.4375,566819.3125,17,10,2019
31,574598.1875,564798.1875,566861.6875,567910.75,18,10,2019
32,588340.3125,564728.125,568568.125,584096.375,19,10,2019
33,588397.375,581285.75,584312.125,584640.5625,20,10,2019
34,587767.9375,572027.25,584617.9375,572292.25,21,10,2019
35,572377.4375,528267.875,572152.3125,531475.1875,22,10,2019
36,534905.875,528807.625,531125.5625,532109.625,23,10,2019
37,615708.6875,529882.0625,531911.8125,613524.0625,24,10,2019
38,709940.375,613660.1875,614011.1875,654913.8125,25,10,2019
39,690656.625,645532.4375,654682.5,676643.4375,26,10,2019
40,693664.0625,654827.125,677591.8125,654827.125,28,10,2019
41,674645.75,654544.8125,654281.875,668372.0625,29,10,2019
42,667821.9375,643629.0,668001.6875,652155.3125,30,10,2019
43,666016.75,640858.375,651923.75,652986.5625,31,10,2019
44,655835.375,645681.4375,652589.5625,654806.4375,1,11,2019
45,661320.125,652300.4375,654713.0,657598.75,2,11,2019
46,661483.75,644660.3125,657603.625,651296.6875,3,11,2019
47,672853.1875,650656.1875,651314.4375,666309.5,4,11,2019
48,669325.125,655136.25,666337.3125,661194.0,5,11,2019
49,669144.0625,660812.5625,661076.3125,664716.0625,6,11,2019
50,665602.125,653799.5625,664113.4375,658432.4375,7,11,2019
51,661861.75,626371.3125,658276.625,628466.0,8,11,2019
52,634671.3125,627629.625,628793.5,629087.0625,9,11,2019
53,649746.3125,628501.875,629009.0625,646299.125,10,11,2019
54,649933.5625,622689.5,646398.4375,626781.8125,11,11,2019
55,635611.9375,623526.8125,626922.3125,632876.3125,12,11,2019
56,637591.25,632166.125,632615.8125,635529.25,13,11,2019
57,635238.0625,625566.4375,635794.3125,626685.0,14,11,2019
58,625436.125,607811.8125,626513.25,608323.875,15,11,2019
59,615620.8125,607164.375,608264.6875,612666.1875,16,11,2019
60,625299.125,609048.625,612573.75,614565.8125,17,11,2019
61,622561.0625,595243.0,614279.5625,597812.375,18,11,2019
62,604244.375,582071.4375,597513.6875,589701.8125,19,11,2019
63,591254.25,574980.125,589519.8125,576182.875,20,11,2019
64,581903.625,545115.9375,575922.75,548371.125,21,11,2019
65,552615.125,498004.1875,548429.9375,523840.2813,22,11,2019
66,534299.125,513418.875,523810.625,531107.0625,23,11,2019
67,531889.3125,504658.8125,531167.1875,505996.1563,24,11,2019
